date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:05:57	293/293	---MCZ	200	added ('OK')	text/plain	date:Fri,%2002%20Jan%202026%2021:05:58%20GMT	https://help.leadconnectorhq.com/robots.txt		(from )
15:05:57	111/111	---MC-	302	error ('Found')	text/html	date:Fri,%2002%20Jan%202026%2021:05:58%20GMT	https://help.leadconnectorhq.com/	C:/My%20Web%20Sites/Database/help.leadconnectorhq.com/index.html	(from )
15:06:00	92339/92339	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Jan%202026%2021:06:01%20GMT	https://help.leadconnectorhq.com/support/home	C:/My%20Web%20Sites/Database/help.leadconnectorhq.com/support/home.html	(from https://help.leadconnectorhq.com/)
15:06:02	92687/92687	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Jan%202026%2021:06:03%20GMT	https://help.leadconnectorhq.com/support/solutions	C:/My%20Web%20Sites/Database/help.leadconnectorhq.com/support/solutions.html	(from https://help.leadconnectorhq.com/support/home)
15:06:02	416/416	---MC-	400	error ('Bad%20Request')	application/xml	date:Fri,%2002%20Jan%202026%2021:06:03%20GMT	https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/155031488903/logo/W6IZsuUjIIDJkqMExT4DsHfGY0UAV20K1Q.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&amp;X-Amz-Credential=AKIAS6FNSMY2XLZULJPI%2F20251229%2Fus-east-1%2Fs3%2Faws4_request&amp;X-Amz-Date=20251229T093904Z&amp;X-Amz-Expires=604800&amp;X-Amz-SignedHeaders=host&amp;X-Amz-Signature=50642aa923a589b6237916d8a1f28128efa53fef0384d8be9fa6264da98b1f76	C:/My%20Web%20Sites/Database/s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/155031488903/logo/W6IZsuUjIIDJkqMExT4DsHfGY0UAV20K1Q.2f64a.delayed	(from https://help.leadconnectorhq.com/support/home)
15:06:03	1150/1150	---MCZ	200	added ('OK')	image/x-icon	date:Fri,%2002%20Jan%202026%2021:06:04%20GMT	https://help.leadconnectorhq.com/assets/misc/omnifavicon.ico?702017	C:/My%20Web%20Sites/Database/help.leadconnectorhq.com/assets/misc/omnifaviconc9b3.ico	(from https://help.leadconnectorhq.com/support/home)
15:06:03	2369/2369	---M-Z	200	added ('OK')	text/css	etag:%2226473e8f74848a765c658c491d85cb60%22	https://assets5.freshdesk.com/assets/cdn/portal_print-6e04b27f27ab27faab81f917d275d593fa892ce13150854024baaf983b3f4326.css	C:/My%20Web%20Sites/Database/assets5.freshdesk.com/assets/cdn/portal_print-6e04b27f27ab27faab81f917d275d593fa892ce13150854024baaf983b3f4326.css	(from https://help.leadconnectorhq.com/support/home)
15:06:04	278336/278336	---M-Z	200	added ('OK')	text/css	etag:%22652cd5a9c516eb86b8900cf0823855c8%22	https://assets4.freshdesk.com/assets/cdn/falcon_portal_utils-a58414d6bc8bc6ca4d78f5b3f76522e4970de435e68a5a2fedcda0db58f21600.css	C:/My%20Web%20Sites/Database/assets4.freshdesk.com/assets/cdn/falcon_portal_utils-a58414d6bc8bc6ca4d78f5b3f76522e4970de435e68a5a2fedcda0db58f21600.css	(from https://help.leadconnectorhq.com/support/home)
15:06:04	79323/79323	---MCZ	200	added ('OK')	text/css	date:Mon,%2006%20Oct%202025%2018:13:20%20GMT	https://help.leadconnectorhq.com/support/theme.css?v=4&d=1654757187	C:/My%20Web%20Sites/Database/help.leadconnectorhq.com/support/theme2820.css	(from https://help.leadconnectorhq.com/support/home)
15:06:04	254471/254471	---M-Z	200	added ('OK')	text/javascript	etag:%2223711f27eac60c2b6e9b710f7e3840ec%22	https://assets8.freshdesk.com/assets/cdn/portal_head_v2-d07ff5985065d4b2f2826fdbbaef7df41eb75e17b915635bf0413a6bc12fd7b7.js	C:/My%20Web%20Sites/Database/assets8.freshdesk.com/assets/cdn/portal_head_v2-d07ff5985065d4b2f2826fdbbaef7df41eb75e17b915635bf0413a6bc12fd7b7.js	(from https://help.leadconnectorhq.com/support/home)
